timestamp,user_id,position_x,value_prop_id,position_y,was_clicked,views_last_3_weeks,clicks_count,payments_last_3_weeks,total_amount_last_3_weeks
2020-11-23,69000,0,credits_consumer,0.0,False,0.0,0.0,0.0,0
2020-11-23,69000,1,link_cobro,0.0,False,0.0,0.0,0.0,0
2020-11-23,69000,2,transport,0.0,False,1.0,0.0,1.0,0
2020-11-23,69000,3,prepaid,0.0,False,0.0,0.0,3.0,0
2020-11-23,66521,0,prepaid,0.0,False,0.0,0.0,1.0,0
2020-11-23,66521,1,cellphone_recharge,0.0,False,1.0,0.0,0.0,0
2020-11-23,66521,2,credits_consumer,2.0,True,0.0,0.0,1.0,0
2020-11-23,66521,3,point,0.0,False,2.0,1.0,1.0,0
2020-11-23,65232,0,credits_consumer,0.0,False,0.0,0.0,0.0,0
2020-11-23,5810,0,cellphone_recharge,0.0,True,0.0,0.0,2.0,0
2020-11-23,5810,1,credits_consumer,0.0,False,0.0,0.0,0.0,0
2020-11-23,65273,0,cellphone_recharge,0.0,False,0.0,0.0,1.0,0
2020-11-23,65273,1,send_money,0.0,False,0.0,0.0,1.0,0
2020-11-23,65273,2,point,0.0,False,1.0,0.0,1.0,0
2020-11-23,65273,3,prepaid,0.0,False,0.0,0.0,2.0,0
2020-11-23,90194,0,cellphone_recharge,0.0,False,0.0,0.0,1.0,0
2020-11-23,34396,0,send_money,0.0,False,0.0,0.0,1.0,0
2020-11-23,34396,1,link_cobro,0.0,False,2.0,0.0,0.0,0
2020-11-23,34396,2,cellphone_recharge,0.0,False,1.0,0.0,2.0,0
2020-11-23,43305,0,send_money,0.0,False,2.0,0.0,2.0,0
2020-11-23,43305,1,point,0.0,False,1.0,0.0,3.0,0
2020-11-23,47459,0,transport,0.0,False,1.0,0.0,1.0,0
2020-11-23,47459,1,link_cobro,0.0,False,0.0,0.0,0.0,0
2020-11-23,92920,0,send_money,0.0,False,0.0,0.0,1.0,0
2020-11-23,18481,0,credits_consumer,0.0,True,0.0,0.0,2.0,0
2020-11-23,18481,1,link_cobro,0.0,False,0.0,0.0,0.0,0
2020-11-23,93043,0,send_money,0.0,False,2.0,0.0,4.0,0
2020-11-23,93043,1,link_cobro,0.0,False,1.0,0.0,1.0,0
2020-11-23,805,0,point,0.0,False,2.0,0.0,1.0,0
2020-11-23,805,1,link_cobro,1.0,True,1.0,0.0,0.0,0
2020-11-23,615,0,credits_consumer,0.0,False,0.0,0.0,1.0,0
2020-11-23,615,1,point,0.0,False,0.0,0.0,0.0,0
2020-11-23,21953,0,prepaid,0.0,False,1.0,0.0,1.0,0
2020-11-23,21953,1,point,0.0,False,0.0,0.0,0.0,0
2020-11-23,21953,2,transport,0.0,False,0.0,0.0,2.0,0
2020-11-23,40730,0,transport,0.0,False,0.0,0.0,2.0,0
2020-11-23,60432,0,link_cobro,0.0,False,0.0,0.0,1.0,0
2020-11-23,60432,1,send_money,0.0,False,0.0,0.0,1.0,0
2020-11-23,60432,2,cellphone_recharge,0.0,False,0.0,0.0,1.0,0
2020-11-23,60432,3,prepaid,0.0,False,1.0,0.0,0.0,0
2020-11-23,1538,0,point,0.0,False,0.0,0.0,1.0,0
2020-11-23,30003,0,credits_consumer,0.0,False,0.0,0.0,1.0,0
2020-11-23,58290,0,link_cobro,0.0,False,0.0,0.0,1.0,0
2020-11-23,58290,1,point,0.0,False,0.0,0.0,1.0,0
2020-11-23,86564,0,prepaid,0.0,False,1.0,0.0,0.0,0
2020-11-23,86564,1,send_money,0.0,False,1.0,1.0,1.0,0
2020-11-23,16839,0,cellphone_recharge,0.0,False,0.0,0.0,0.0,0
2020-11-23,16839,1,point,0.0,False,0.0,0.0,0.0,0
2020-11-23,16839,2,send_money,0.0,False,0.0,0.0,1.0,0
2020-11-23,19000,0,cellphone_recharge,0.0,False,0.0,0.0,1.0,0
2020-11-23,19000,1,transport,0.0,False,2.0,0.0,0.0,0
2020-11-23,94801,0,transport,0.0,False,1.0,0.0,1.0,0
2020-11-23,46367,0,transport,0.0,False,0.0,0.0,0.0,0
2020-11-23,46367,1,point,0.0,False,0.0,0.0,1.0,0
